Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp
100,6559.53,4021.50,22.25,2,41,0.51,NLOS,89.37,0.45,-69.60,2.66,55.36,0,35,-73.79,47,-79.26,42,-96.44,40,-99.50,48,-102.13
101,6558.84,4021.50,22.25,0,41,0.51,NLOS,89.32,0.45,-69.56,2.70,55.36,0,35,-73.78,47,-79.27,42,-96.44,40,-99.50,48,-102.14
102,6574.22,4021.50,22.25,0,41,0.50,NLOS,90.34,-1.94,-68.18,8.86,55.36,0,35,-79.87,47,-82.63,40,-95.84,48,-98.19,42,-110.13
103,6589.60,4021.50,22.25,0,41,0.49,NLOS,91.44,-1.94,-69.28,7.75,55.36,0,35,-79.99,47,-82.45,40,-95.88,48,-97.96,42,-110.15
104,6604.98,4021.50,22.25,0,41,0.48,NLOS,92.59,0.61,-72.97,0.16,55.36,0,47,-79.88,35,-81.05,42,-96.47,48,-101.58,40,-101.67
105,6620.36,4021.50,22.25,0,41,0.46,NLOS,93.74,0.61,-74.13,-1.09,55.36,0,47,-79.69,35,-81.17,42,-96.50,48,-101.35,40,-101.72
106,6635.73,4021.50,22.25,0,41,0.45,NLOS,94.89,-6.22,-68.46,9.50,55.36,0,35,-81.71,47,-83.41,40,-104.86,48,-106.58,42,-107.93
107,6651.11,4021.50,22.25,0,41,0.44,NLOS,96.02,-6.22,-69.58,8.34,55.36,0,35,-81.83,47,-83.22,40,-104.92,48,-106.34,42,-107.96
108,6666.49,4021.50,22.25,0,47,0.13,LOS,96.13,-1.71,-74.20,1.46,55.36,1,35,-77.43,41,-82.04,48,-95.83,40,-100.56,34,-104.79
109,6681.87,4021.50,22.25,0,47,0.14,LOS,95.94,-1.71,-74.01,1.94,55.36,0,35,-77.55,41,-83.10,48,-95.60,40,-100.64,34,-105.04
110,6697.25,4021.50,22.25,0,47,0.14,LOS,95.74,-3.49,-72.03,4.88,55.36,0,35,-78.40,41,-85.92,40,-93.43,48,-99.48,42,-101.13
111,6712.62,4021.50,22.25,0,47,0.15,LOS,95.54,-3.49,-71.83,5.27,55.36,0,35,-78.52,41,-86.90,40,-93.51,48,-99.24,42,-101.19
112,6728.00,4021.50,22.25,0,41,0.38,NLOS,101.11,-8.87,-72.02,2.01,55.36,1,47,-75.41,35,-84.54,48,-91.40,40,-100.98,34,-107.62
113,6743.38,4021.50,22.25,0,41,0.37,NLOS,102.01,-8.87,-72.92,0.94,55.36,0,47,-75.21,35,-84.66,48,-91.17,40,-101.08,34,-107.86
114,6758.76,4021.50,22.25,0,41,0.36,NLOS,102.88,-12.25,-70.41,-1.69,55.36,0,47,-68.86,35,-86.51,48,-97.11,34,-101.92,42,-102.09
115,6774.14,4021.50,22.25,0,41,0.35,NLOS,103.71,-12.25,-71.24,-2.72,55.36,0,47,-68.65,35,-86.63,48,-96.87,34,-102.15,42,-102.16
116,6789.51,4021.50,22.25,0,47,0.18,LOS,94.50,3.83,-78.11,1.18,55.36,1,35,-81.27,41,-86.76,40,-100.53,42,-102.63,48,-102.66
117,6804.89,4021.50,22.25,0,47,0.19,LOS,94.28,3.83,-77.89,1.58,55.36,0,35,-81.38,41,-87.53,40,-100.65,48,-102.42,42,-102.70
118,6820.27,4021.50,22.25,0,47,0.20,LOS,94.06,-0.28,-73.57,0.77,55.36,0,54,-79.33,41,-81.32,48,-96.57,42,-99.36,34,-103.63
119,6835.65,4021.50,22.25,0,47,0.20,LOS,93.84,-0.28,-73.35,1.13,55.36,0,54,-79.20,41,-82.03,48,-96.34,42,-99.44,34,-103.85
120,6851.03,4021.50,22.25,0,47,0.21,LOS,93.62,-1.99,-71.41,0.16,55.36,0,54,-71.99,48,-84.39,41,-95.33,40,-98.19,42,-101.42
121,6866.40,4021.50,22.25,0,47,0.22,LOS,93.40,-1.99,-71.19,0.26,55.36,0,54,-71.86,48,-84.17,41,-95.99,40,-98.32,42,-101.51
122,6881.78,4021.50,22.25,0,47,0.22,LOS,93.17,-6.60,-66.35,6.89,55.36,0,54,-74.45,41,-90.73,40,-101.49,48,-106.02,42,-109.56
123,6897.16,4021.50,22.25,0,47,0.23,LOS,92.94,-6.60,-66.12,7.05,55.36,0,54,-74.32,41,-91.35,40,-101.63,48,-105.80,42,-109.65
