Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_prx,ue0_sinr,ue0_sinr_interference,ue0_sinr_noise,ue0_sinr_denominator,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp,ue0_bs6_idx,ue0_bs6_rsrp,ue0_interf_bs1_idx,ue0_interf_bs1_prx,ue0_interf_bs2_idx,ue0_interf_bs2_prx,ue0_interf_bs3_idx,ue0_interf_bs3_prx,ue0_interf_bs4_idx,ue0_interf_bs4_prx,ue0_interf_bs5_idx,ue0_interf_bs5_prx,ue0_interf_bs6_idx,ue0_interf_bs6_prx
42,3355.00,2440.46,3.00,3,31,0.02,LOS,99.81,1.60,-81.19,-53.41,10.03,-63.44,-95.00,-63.44,34.45,0,23,-91.38,24,-106.63,16,-107.71,15,-111.51,17,-112.58,8,-115.40,32,-90.76,23,-63.59,24,-78.85,38,-107.00,39,-89.80,30,-93.25
43,3355.00,2430.89,3.00,3,31,0.02,LOS,99.85,1.60,-81.23,-53.45,9.76,-63.22,-95.00,-63.21,34.45,0,23,-91.13,24,-106.82,16,-107.84,15,-111.38,17,-112.68,8,-115.39,32,-90.84,23,-63.35,24,-79.03,38,-107.00,39,-89.84,30,-93.18
44,3355.00,2421.32,3.00,3,31,0.02,LOS,99.89,1.60,-81.27,-53.49,9.56,-63.05,-95.00,-63.05,34.45,0,23,-90.96,24,-107.00,16,-107.96,15,-111.25,17,-112.79,8,-115.39,32,-90.93,23,-63.18,24,-79.22,38,-106.99,39,-89.88,30,-93.10
45,3355.00,2411.75,3.00,3,31,0.02,LOS,99.93,-1.42,-78.28,-50.50,0.31,-50.81,-95.00,-50.81,34.45,0,23,-78.59,15,-110.67,16,-112.95,24,-113.65,39,-118.71,45,-118.81,32,-93.33,23,-50.81,24,-85.87,38,-110.13,39,-90.93,30,-92.13
46,3355.00,2402.18,3.00,3,31,0.02,LOS,99.97,-1.42,-78.32,-50.54,0.23,-50.77,-95.00,-50.77,34.45,0,23,-78.56,15,-110.55,16,-113.08,24,-113.83,39,-118.75,45,-118.80,32,-93.41,23,-50.77,24,-86.05,38,-110.13,39,-90.97,30,-92.05
47,3355.00,2392.61,3.00,3,31,0.02,LOS,100.01,-1.42,-78.36,-50.58,0.22,-50.81,-95.00,-50.81,34.45,0,23,-78.59,15,-110.42,16,-113.21,24,-114.01,45,-118.79,39,-118.79,32,-93.50,23,-50.81,24,-86.23,38,-110.13,39,-91.01,30,-91.98
48,3355.00,2383.03,3.00,3,31,0.02,LOS,100.05,0.74,-80.57,-52.79,8.54,-61.34,-95.00,-61.33,34.45,0,23,-89.13,15,-108.97,16,-110.03,30,-117.59,32,-118.10,25,-119.17,32,-90.32,23,-61.35,24,-101.00,38,-97.87,39,-92.33,30,-89.81
49,3355.00,2373.46,3.00,3,31,0.02,LOS,100.09,0.74,-80.61,-52.83,8.67,-61.51,-95.00,-61.51,34.45,0,23,-89.31,15,-108.85,16,-110.16,30,-117.52,32,-118.18,25,-119.26,32,-90.40,23,-61.53,24,-101.18,38,-97.87,39,-92.37,30,-89.74
50,3355.00,2363.89,3.00,3,31,0.02,LOS,100.13,0.74,-80.66,-52.87,8.87,-61.75,-95.00,-61.74,34.45,0,23,-89.55,15,-108.72,16,-110.29,30,-117.46,32,-118.27,25,-119.36,32,-90.49,23,-61.76,24,-101.36,38,-97.87,39,-92.41,30,-89.68
51,3355.00,2354.32,3.00,3,31,0.02,LOS,100.17,2.04,-81.99,-54.21,2.00,-56.21,-95.00,-56.21,34.45,0,23,-84.00,15,-102.36,24,-114.80,30,-116.69,46,-117.55,9,-118.09,32,-97.26,23,-56.22,24,-87.02,38,-105.91,39,-107.22,30,-88.91
52,3355.00,2344.75,3.00,3,31,0.02,LOS,100.22,2.04,-82.03,-54.25,2.31,-56.56,-95.00,-56.56,34.45,0,23,-84.35,15,-102.24,24,-114.97,30,-116.63,46,-117.56,9,-118.14,32,-97.34,23,-56.57,24,-87.19,38,-105.92,39,-107.26,30,-88.84
53,3355.00,2335.18,3.00,3,31,0.02,LOS,100.26,2.04,-82.08,-54.30,2.66,-56.96,-95.00,-56.96,34.45,0,23,-84.75,15,-102.12,24,-115.14,30,-116.56,46,-117.58,9,-118.20,32,-97.43,23,-56.96,24,-87.36,38,-105.92,39,-107.30,30,-88.78
54,3355.00,2325.61,3.00,3,31,0.02,LOS,100.30,1.49,-81.57,-53.79,8.30,-62.09,-95.00,-62.09,34.45,0,23,-89.90,15,-100.50,16,-109.25,0,-115.16,38,-116.39,30,-116.50,32,-94.17,23,-62.12,24,-93.48,38,-88.61,39,-97.48,30,-88.72
55,3355.00,2316.04,3.00,3,31,0.02,LOS,100.35,1.49,-81.62,-53.83,8.72,-62.56,-95.00,-62.56,34.45,0,23,-90.37,15,-100.38,16,-109.38,0,-115.15,38,-116.39,30,-116.44,32,-94.25,23,-62.59,24,-93.65,38,-88.61,39,-97.52,30,-88.66
56,3355.00,2306.47,3.00,3,31,0.02,LOS,100.39,1.49,-81.66,-53.88,9.17,-63.05,-95.00,-63.05,34.45,0,23,-90.87,15,-100.27,16,-109.51,0,-115.14,30,-116.38,38,-116.40,32,-94.33,23,-63.09,24,-93.81,38,-88.62,39,-97.56,30,-88.60
57,3355.00,2296.90,3.00,3,31,0.02,LOS,100.44,1.77,-81.99,-54.21,2.21,-56.42,-95.00,-56.42,34.45,0,23,-84.22,16,-102.66,30,-109.05,8,-112.36,15,-113.44,18,-118.67,32,-97.50,23,-56.44,24,-93.83,38,-102.12,39,-91.46,30,-81.27
58,3355.00,2287.33,3.00,3,31,0.02,LOS,100.48,1.77,-82.04,-54.25,2.70,-56.95,-95.00,-56.95,34.45,0,23,-84.75,16,-102.79,30,-108.99,8,-112.37,15,-113.33,18,-118.74,32,-97.58,23,-56.97,24,-94.00,38,-102.13,39,-91.51,30,-81.21
59,3355.00,2277.76,3.00,3,31,0.02,LOS,100.53,1.77,-82.08,-54.30,3.19,-57.49,-95.00,-57.49,34.45,0,23,-85.30,16,-102.93,30,-108.94,8,-112.38,15,-113.22,18,-118.80,32,-97.66,23,-57.51,24,-94.16,38,-102.14,39,-91.55,30,-81.16
60,3355.00,2268.19,3.00,3,31,0.02,LOS,100.57,-1.72,-78.63,-50.85,15.32,-66.18,-95.00,-66.18,34.45,0,23,-94.21,15,-103.38,24,-107.16,16,-112.04,30,-120.24,0,-120.72,32,-93.83,23,-66.42,24,-79.38,38,-94.97,39,-95.94,30,-92.46
61,3355.00,2258.62,3.00,3,31,0.02,LOS,100.62,-1.72,-78.68,-50.90,15.80,-66.71,-95.00,-66.70,34.45,0,23,-94.76,15,-103.27,24,-107.32,16,-112.17,30,-120.19,0,-120.71,32,-93.92,23,-66.98,24,-79.53,38,-94.98,39,-95.98,30,-92.41
62,3355.00,2254.96,3.00,1,31,0.02,LOS,100.64,-1.72,-78.70,-50.92,15.99,-66.91,-95.00,-66.91,34.45,0,23,-94.97,15,-103.23,24,-107.38,16,-112.22,30,-120.17,0,-120.70,32,-93.95,23,-67.19,24,-79.59,38,-94.98,39,-96.00,30,-92.39
63,3355.00,2264.53,3.00,1,31,0.02,LOS,100.59,-1.72,-78.65,-50.87,15.51,-66.38,-95.00,-66.38,34.45,0,23,-94.42,15,-103.34,24,-107.22,16,-112.09,30,-120.22,0,-120.71,32,-93.87,23,-66.64,24,-79.44,38,-94.97,39,-95.96,30,-92.44
64,3355.00,2274.10,3.00,1,31,0.02,LOS,100.55,-10.07,-70.26,-42.47,22.30,-64.78,-95.00,-64.77,34.45,0,23,-92.73,30,-108.05,15,-109.91,17,-111.83,8,-112.56,32,-113.75,32,-85.97,23,-64.94,24,-99.67,38,-95.55,39,-101.93,30,-80.26
65,3355.00,2283.67,3.00,1,31,0.02,LOS,100.50,-10.07,-70.21,-42.43,21.82,-64.25,-95.00,-64.25,34.45,0,23,-92.18,30,-108.10,15,-110.02,17,-111.73,8,-112.55,32,-113.67,32,-85.88,23,-64.40,24,-99.51,38,-95.54,39,-101.89,30,-80.32
66,3355.00,2293.24,3.00,1,31,0.02,LOS,100.45,-10.07,-70.16,-42.38,21.35,-63.74,-95.00,-63.73,34.45,0,23,-91.64,30,-108.16,15,-110.13,17,-111.64,8,-112.54,32,-113.58,32,-85.80,23,-63.86,24,-99.35,38,-95.53,39,-101.84,30,-80.38
