Step,UE_ID,x,y,direction,connected_bs,current_prx,sinr,speed,handover
2,12,7400.00,5656.94,1,104,-85.97,-20.34,22.78,0
2,13,1800.00,5912.00,3,12,-116.32,-51.94,35.20,0
2,14,7200.00,4854.73,1,98,-62.71,7.77,21.89,0
2,15,8400.00,4944.34,1,99,-69.79,-4.40,57.73,0
2,16,4400.00,2302.66,3,85,-70.26,-0.09,38.94,0
2,17,3256.81,4400.00,0,25,-103.50,-34.11,22.72,0
2,18,7298.51,3000.00,0,87,-66.41,-12.68,39.40,0
2,19,5052.45,6600.00,0,102,-58.42,-4.01,20.98,0
2,20,6286.39,7400.00,2,59,-113.98,-47.16,45.44,0
2,21,5000.00,3893.77,1,91,-37.50,23.12,37.51,0
2,22,1257.19,5800.00,0,4,-112.47,-45.00,22.87,0
2,23,5872.17,2000.00,0,45,-107.51,-42.11,28.87,0
2,24,5457.74,6600.00,2,43,-112.08,-60.83,56.90,0
2,25,1000.00,6882.72,3,6,-109.48,-26.56,46.91,0
2,26,1460.80,5800.00,0,12,-112.54,-58.37,24.32,0
2,27,1800.00,2106.79,3,83,-82.35,3.03,37.28,0
2,28,4680.52,6600.00,2,102,-73.38,-14.32,47.79,0
2,29,5492.53,6200.00,2,102,-75.17,-5.93,42.99,0
2,30,1470.88,7800.00,0,7,-106.21,-39.03,28.35,0
2,31,1800.00,2068.29,3,83,-90.37,-23.41,52.68,0
2,32,7293.57,7400.00,0,109,-71.39,-6.85,37.43,0
2,33,8909.98,2600.00,2,76,-109.08,-33.97,36.01,0
2,34,7000.00,4855.28,3,98,-86.91,-27.01,57.89,0
2,35,3600.00,7690.65,1,29,-103.44,-37.34,36.26,0
2,36,7516.73,5200.00,2,64,-118.91,-65.25,33.31,0
2,37,3454.32,4200.00,0,25,-83.78,-17.01,21.73,1
2,38,2800.00,7931.63,1,22,-99.45,-32.48,52.65,0
2,39,1128.84,7000.00,0,6,-105.88,-45.85,51.54,0
2,40,1483.21,5200.00,2,94,-91.43,-28.48,46.72,0
2,41,3061.44,3800.00,0,17,-102.09,-44.97,24.57,0
2,42,2321.99,7000.00,2,13,-110.10,-57.53,31.20,0
2,43,2341.49,4800.00,0,94,-74.92,-8.89,56.60,0
2,44,3659.35,7800.00,2,29,-104.66,-38.90,56.26,0
2,45,7517.30,6800.00,2,66,-103.83,-41.50,33.08,0
2,46,6899.42,7000.00,2,109,-69.90,-0.87,40.23,0
2,47,1400.00,6081.24,1,5,-117.98,-51.43,32.50,0
2,48,8600.00,4137.51,3,78,-98.14,-24.84,24.99,0
2,49,5000.00,7103.82,3,43,-120.93,-45.77,38.47,1
2,50,8200.00,7665.53,1,110,-80.94,-7.66,26.21,0
2,51,3200.00,6926.99,1,106,-38.65,24.09,50.80,0
2,52,3400.00,3504.25,1,90,-38.81,20.98,41.70,0
2,53,3400.00,4291.36,1,90,-69.93,-2.90,36.54,0
2,54,6600.00,3495.42,1,92,-51.39,7.78,38.17,0
2,55,3800.00,2295.89,1,23,-113.94,-54.72,38.35,0
2,56,2200.00,3904.61,3,89,-54.46,10.84,38.15,0
2,57,3200.00,4546.10,3,95,-68.52,0.84,21.56,0
2,58,1000.00,2861.27,3,1,-119.15,-48.89,55.49,0
2,59,4600.00,5064.47,1,96,-63.10,7.51,25.79,0
2,60,1200.00,5940.60,1,5,-110.21,-35.36,56.24,1
2,61,8710.53,4200.00,2,78,-98.60,-35.30,35.79,0
2,62,6000.00,5746.65,1,103,-86.99,-23.64,58.66,0
2,63,7141.39,7800.00,0,109,-78.05,-7.63,56.55,0
2,64,1000.00,2100.84,1,0,-113.01,-40.67,40.33,0
2,65,4200.00,5265.18,1,96,-90.78,-39.47,26.07,0
2,66,5400.00,7457.89,3,108,-90.11,-21.01,56.85,0
