Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp,ue0_bs6_idx,ue0_bs6_rsrp
64,5800.00,2287.11,69.00,3,46,0.91,LOS,94.34,-1.15,-72.97,-45.19,-1.33,72.67,0,53,-73.82,45,-78.13,38,-81.52,30,-81.58,61,-82.23,31,-82.58
65,5800.00,2266.92,69.00,3,46,0.90,LOS,94.68,-1.15,-73.31,-45.53,-1.85,72.67,0,53,-73.87,45,-77.23,38,-81.55,30,-81.56,61,-82.28,31,-82.62
66,5800.00,2246.74,69.00,3,46,0.90,LOS,95.01,-4.28,-70.51,-42.73,-2.25,72.67,0,45,-71.45,53,-74.08,38,-76.46,30,-79.74,47,-79.82,39,-82.73
67,5800.00,2226.55,69.00,3,46,0.89,LOS,95.33,-4.28,-70.83,-43.05,-3.05,72.67,0,45,-70.43,53,-74.14,38,-76.50,30,-79.72,47,-79.96,39,-82.85
68,5800.00,2206.36,69.00,3,46,0.89,LOS,95.64,-2.38,-73.04,-45.26,-0.51,72.67,0,45,-75.71,61,-78.93,38,-79.72,47,-81.74,39,-82.15,30,-82.52
69,5800.00,2213.82,69.00,1,46,0.89,LOS,95.52,-2.38,-72.93,-45.15,-0.22,72.67,0,45,-76.12,61,-78.91,38,-79.70,47,-81.69,39,-82.11,30,-82.52
70,5800.00,2234.01,69.00,1,46,0.90,LOS,95.21,-6.34,-68.65,-40.87,3.38,72.67,0,53,-74.31,38,-79.82,39,-81.68,47,-83.13,68,-84.29,69,-84.46
71,5800.00,2254.20,69.00,1,46,0.90,LOS,94.89,-6.34,-68.33,-40.55,3.68,72.67,0,53,-74.25,38,-79.78,39,-81.56,47,-83.00,68,-84.28,69,-84.43
72,5800.00,2274.38,69.00,1,46,0.91,LOS,94.56,3.11,-77.45,-49.67,-4.69,72.67,0,53,-76.55,38,-77.89,30,-80.27,16,-81.79,45,-82.28,39,-82.44
73,5800.00,2294.57,69.00,1,46,0.91,LOS,94.21,3.11,-77.10,-49.32,-4.31,72.67,0,53,-76.50,38,-77.85,30,-80.29,16,-81.78,39,-82.32,24,-82.88
74,5800.00,2314.76,69.00,1,46,0.91,LOS,93.85,0.33,-73.96,-46.18,-3.17,72.67,0,53,-71.76,30,-79.29,47,-81.01,32,-81.52,31,-82.86,38,-83.04
75,5800.00,2334.94,69.00,1,46,0.92,LOS,93.48,0.33,-73.59,-45.81,-2.82,72.67,0,53,-71.73,30,-79.32,47,-80.87,32,-81.45,31,-82.82,38,-83.01
76,5800.00,2355.13,69.00,1,46,0.92,LOS,93.10,-2.42,-70.46,-42.68,-3.35,72.67,0,38,-68.87,45,-75.22,39,-78.14,53,-79.11,31,-81.25,47,-81.48
77,5800.00,2375.31,69.00,1,46,0.93,LOS,92.69,-2.42,-70.06,-42.27,-2.87,72.67,0,38,-68.86,45,-75.93,39,-78.03,53,-79.09,31,-81.22,47,-81.34
78,5800.00,2395.50,69.00,1,46,0.93,LOS,92.27,4.84,-76.89,-49.11,-3.81,72.67,0,53,-76.62,38,-80.00,39,-80.03,30,-80.41,31,-81.14,32,-82.14
