Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp
139,4359.39,4166.50,1.50,0,2,0.03,NLOS,129.28,1.23,-110.29,-0.60,29.27,0,0,-114.02,3,-114.78,5,-116.85,4,-121.94,1,-124.30
140,4367.52,4166.50,1.50,0,2,0.03,NLOS,129.06,1.23,-110.08,-0.40,29.27,0,0,-114.11,3,-114.70,5,-116.76,4,-121.92,1,-124.31
141,4375.65,4166.50,1.50,0,3,0.02,NLOS,137.49,-8.22,-109.06,-1.03,29.27,1,1,-111.24,0,-112.41,2,-116.80,5,-128.00,4,-133.36
142,4383.78,4166.50,1.50,0,3,0.02,NLOS,137.41,-8.22,-108.98,-0.94,29.27,0,1,-111.25,0,-112.51,2,-116.58,5,-127.91,4,-133.33
143,4391.91,4166.50,1.50,0,3,0.02,NLOS,137.34,-8.22,-108.90,-0.85,29.27,0,1,-111.26,0,-112.62,2,-116.35,5,-127.81,4,-133.31
144,4400.04,4166.50,1.50,0,3,0.02,NLOS,137.26,-8.22,-108.82,-0.77,29.27,0,1,-111.28,0,-112.73,2,-116.13,5,-127.72,4,-133.28
145,4408.17,4166.50,1.50,0,0,0.04,NLOS,122.53,-4.97,-97.34,6.63,29.27,1,5,-105.78,1,-109.81,2,-116.66,3,-122.87,4,-124.34
146,4416.30,4166.50,1.50,0,0,0.04,NLOS,122.64,-4.97,-97.46,6.43,29.27,0,5,-105.68,1,-109.83,2,-116.42,3,-122.79,4,-124.31
147,4424.43,4166.50,1.50,0,0,0.04,NLOS,122.77,-4.97,-97.58,6.24,29.27,0,5,-105.59,1,-109.84,2,-116.19,3,-122.72,4,-124.29
148,4432.56,4166.50,1.50,0,0,0.04,NLOS,122.90,-4.97,-97.71,6.03,29.27,0,5,-105.49,1,-109.86,2,-115.95,3,-122.64,4,-124.26
