Step,ue0_x,ue0_y,ue0_direction,ue0_connected_bs,ue0_current_rsrp,ue0_sinr,ue0_speed,ue0_handover,ue0_rsrp_bs0,ue0_sinr_bs0,ue0_rsrp_bs1,ue0_sinr_bs1,ue0_rsrp_bs2,ue0_sinr_bs2,ue0_rsrp_bs3,ue0_sinr_bs3,ue0_rsrp_bs4,ue0_sinr_bs4,ue0_rsrp_bs5,ue0_sinr_bs5,ue0_rsrp_bs6,ue0_sinr_bs6
84,5321.25,5366.50,0,6,-74.45,10.41,90.00,0,-104.87,-30.79,-93.32,-19.20,-92.06,-17.92,-88.31,-14.07,-93.03,-18.90,-101.50,-27.42,-74.45,10.41
85,5321.50,5366.50,0,6,-72.68,12.54,90.00,0,-106.87,-34.43,-93.06,-20.57,-93.65,-21.17,-89.24,-16.70,-91.64,-19.14,-100.72,-28.27,-72.68,12.54
86,5321.75,5366.50,0,6,-71.58,12.50,90.00,0,-104.92,-33.58,-92.95,-21.58,-93.63,-22.27,-86.86,-15.39,-92.00,-20.62,-98.46,-27.11,-71.58,12.50
87,5322.00,5366.50,0,6,-70.32,13.54,90.00,0,-102.34,-32.21,-91.32,-21.16,-94.77,-24.62,-86.87,-16.65,-91.27,-21.10,-100.73,-30.59,-70.32,13.54
88,5322.25,5366.50,0,6,-68.46,13.85,90.00,0,-102.17,-33.88,-89.15,-20.83,-95.80,-27.51,-84.66,-16.27,-91.36,-23.06,-101.01,-32.73,-68.46,13.85
89,5322.50,5366.50,0,6,-67.89,14.55,90.00,0,-102.31,-34.57,-86.69,-18.90,-98.62,-30.88,-86.13,-18.33,-91.13,-23.37,-102.89,-35.15,-67.89,14.55
90,5322.75,5366.50,0,6,-69.04,13.43,90.00,0,-101.14,-32.30,-87.76,-18.86,-96.22,-27.37,-86.60,-17.68,-88.85,-19.96,-100.66,-31.82,-69.04,13.43
91,5323.00,5366.50,0,6,-69.38,13.34,90.00,0,-101.03,-31.85,-90.72,-21.51,-98.08,-28.90,-87.56,-18.31,-86.31,-17.04,-101.40,-32.22,-69.38,13.34
92,5323.25,5366.50,0,6,-69.10,14.55,90.00,0,-102.57,-33.62,-90.33,-21.35,-99.49,-30.54,-89.90,-20.92,-87.02,-18.01,-99.47,-30.52,-69.10,14.55
93,5323.50,5366.50,0,6,-68.70,13.57,90.00,0,-102.12,-33.60,-91.14,-22.60,-99.34,-30.82,-90.21,-21.67,-84.41,-15.78,-95.23,-26.71,-68.70,13.57
94,5323.75,5366.50,0,6,-70.51,12.65,90.00,0,-100.98,-30.70,-91.87,-21.56,-97.89,-27.61,-91.61,-21.30,-85.37,-14.95,-96.09,-25.80,-70.51,12.65
95,5324.00,5366.50,0,6,-70.77,12.56,90.00,0,-98.74,-28.20,-93.56,-23.00,-98.83,-28.29,-92.86,-22.30,-85.28,-14.59,-94.47,-23.91,-70.77,12.56
96,5324.25,5366.50,0,6,-72.72,9.47,90.00,0,-97.32,-25.06,-93.59,-21.30,-100.56,-28.30,-91.52,-19.21,-83.75,-11.18,-95.15,-22.87,-72.72,9.47
97,5324.50,5366.50,0,6,-72.65,10.58,90.00,0,-99.37,-27.08,-94.88,-22.57,-101.68,-29.39,-93.50,-21.19,-84.72,-12.19,-94.86,-22.55,-72.65,10.58
98,5324.75,5366.50,0,6,-74.69,8.39,90.00,0,-100.37,-26.25,-93.53,-19.38,-102.27,-28.16,-95.20,-21.07,-84.32,-9.79,-96.53,-22.40,-74.69,8.39
99,5325.00,5366.50,0,6,-75.98,6.90,90.00,0,-100.70,-25.52,-94.16,-18.93,-102.65,-27.47,-96.05,-20.85,-83.91,-8.12,-96.52,-21.32,-75.98,6.90
100,5325.25,5366.50,0,6,-73.99,8.55,90.00,0,-99.95,-26.52,-95.06,-21.61,-102.34,-28.91,-96.33,-22.88,-83.47,-9.60,-95.73,-22.28,-73.99,8.55
101,5325.50,5366.50,0,6,-74.88,10.28,90.00,0,-101.43,-26.93,-95.15,-20.62,-101.43,-26.93,-97.04,-22.52,-87.04,-12.30,-94.90,-20.37,-74.88,10.28
102,5325.75,5366.50,0,6,-74.42,10.08,90.00,0,-99.34,-25.31,-97.00,-22.97,-102.26,-28.23,-100.19,-26.16,-86.33,-12.05,-91.92,-17.83,-74.42,10.08
103,5326.00,5366.50,0,6,-74.20,8.88,90.00,0,-101.53,-27.86,-96.51,-22.82,-102.09,-28.42,-99.92,-26.24,-84.14,-10.07,-92.86,-19.14,-74.20,8.88
104,5326.25,5366.50,0,6,-74.59,8.57,90.00,0,-102.68,-28.65,-97.88,-23.83,-101.70,-27.67,-96.88,-22.83,-84.48,-10.04,-91.74,-17.64,-74.59,8.57
